Name	Version	License
@babel/code-frame	7.8.3	MIT
@babel/code-frame	7.5.5	MIT
@babel/compat-data	7.8.6	MIT
@babel/core	7.8.4	MIT
@babel/core	7.8.7	MIT
@babel/generator	7.8.8	MIT
@babel/helper-annotate-as-pure	7.8.3	MIT
@babel/helper-builder-binary-assignment-operator-visitor	7.8.3	MIT
@babel/helper-builder-react-jsx	7.8.3	MIT
@babel/helper-call-delegate	7.8.7	MIT
@babel/helper-compilation-targets	7.8.7	MIT
@babel/helper-create-class-features-plugin	7.8.6	MIT
@babel/helper-create-regexp-features-plugin	7.8.8	MIT
@babel/helper-define-map	7.8.3	MIT
@babel/helper-explode-assignable-expression	7.8.3	MIT
@babel/helper-function-name	7.8.3	MIT
@babel/helper-get-function-arity	7.8.3	MIT
@babel/helper-hoist-variables	7.8.3	MIT
@babel/helper-member-expression-to-functions	7.8.3	MIT
@babel/helper-module-imports	7.8.3	MIT
@babel/helper-module-transforms	7.8.6	MIT
@babel/helper-optimise-call-expression	7.8.3	MIT
@babel/helper-plugin-utils	7.8.3	MIT
@babel/helper-regex	7.8.3	MIT
@babel/helper-remap-async-to-generator	7.8.3	MIT
@babel/helper-replace-supers	7.8.6	MIT
@babel/helper-simple-access	7.8.3	MIT
@babel/helper-split-export-declaration	7.8.3	MIT
@babel/helper-wrap-function	7.8.3	MIT
@babel/helpers	7.8.4	MIT
@babel/highlight	7.8.3	MIT
@babel/parser	7.8.8	MIT
@babel/plugin-proposal-async-generator-functions	7.8.3	MIT
@babel/plugin-proposal-class-properties	7.8.3	MIT
@babel/plugin-proposal-decorators	7.8.3	MIT
@babel/plugin-proposal-dynamic-import	7.8.3	MIT
@babel/plugin-proposal-json-strings	7.8.3	MIT
@babel/plugin-proposal-nullish-coalescing-operator	7.8.3	MIT
@babel/plugin-proposal-numeric-separator	7.8.3	MIT
@babel/plugin-proposal-object-rest-spread	7.8.3	MIT
@babel/plugin-proposal-optional-catch-binding	7.8.3	MIT
